frame_id,base_id_est,base_x_est,base_y_est
0,88,4344,905
1,18,3258,543
2,18,3258,543
3,88,4344,905
4,134,1086,1267
5,24,4344,543
6,24,4344,543
7,39,1267,724
8,188,5068,1448
9,88,4344,905
10,87,4163,905
11,120,4344,1086
12,183,4163,1448
13,188,5068,1448
14,71,1267,905
15,166,1086,1448
16,70,1086,905
17,188,5068,1448
18,90,4706,905
19,188,5068,1448
20,190,5430,1448
21,69,905,905
22,187,4887,1448
23,72,1448,905
24,73,1629,905
25,38,1086,724
26,188,5068,1448
27,38,1086,724
28,188,5068,1448
29,42,1810,724
30,42,1810,724
31,44,2172,724
32,42,1810,724
33,44,2172,724
34,12,2172,543
35,44,2172,724
36,44,2172,724
37,74,1810,905
38,74,1810,905
39,74,1810,905
40,44,2172,724
41,41,1629,724
42,74,1810,905
43,106,1810,1086
44,57,4525,724
45,43,1991,724
46,43,1991,724
47,44,2172,724
48,44,2172,724
49,44,2172,724
50,44,2172,724
51,44,2172,724
52,44,2172,724
53,44,2172,724
54,44,2172,724
55,76,2172,905
56,44,2172,724
57,44,2172,724
58,76,2172,905
59,44,2172,724
60,44,2172,724
61,73,1629,905
62,95,5611,905
63,188,5068,1448
64,19,3439,543
65,151,4163,1267
66,184,4344,1448
67,187,4887,1448
68,188,5068,1448
69,63,5611,724
70,184,4344,1448
71,96,0,1086
72,63,5611,724
73,63,5611,724
74,119,4163,1086
75,64,0,905
76,95,5611,905
77,96,0,1086
78,64,0,905
79,64,0,905
80,63,5611,724
81,127,5611,1086
82,63,5611,724
83,61,5249,724
84,62,5430,724
85,94,5430,905
86,94,5430,905
87,126,5430,1086
88,61,5249,724
89,61,5249,724
90,61,5249,724
91,94,5430,905
92,61,5249,724
93,61,5249,724
94,127,5611,1086
95,93,5249,905
96,126,5430,1086
97,126,5430,1086
98,61,5249,724
99,125,5249,1086
100,94,5430,905
101,62,5430,724
102,127,5611,1086
103,63,5611,724
104,94,5430,905
105,127,5611,1086
106,63,5611,724
107,61,5249,724
108,61,5249,724
109,96,0,1086
110,95,5611,905
111,95,5611,905
112,127,5611,1086
113,64,0,905
114,0,0,543
115,184,4344,1448
116,119,4163,1086
117,184,4344,1448
118,120,4344,1086
119,184,4344,1448
120,74,1810,905
121,44,2172,724
122,108,2172,1086
123,110,2534,1086
124,80,2896,905
125,144,2896,1267
126,143,2715,1267
127,143,2715,1267
128,188,5068,1448
129,48,2896,724
130,188,5068,1448
131,48,2896,724
132,188,5068,1448
133,188,5068,1448
134,187,4887,1448
135,188,5068,1448
136,188,5068,1448
137,188,5068,1448
138,188,5068,1448
139,188,5068,1448
140,188,5068,1448
141,187,4887,1448
142,188,5068,1448
143,188,5068,1448
144,81,3077,905
145,48,2896,724
146,80,2896,905
147,188,5068,1448
148,49,3077,724
149,188,5068,1448
150,111,2715,1086
151,112,2896,1086
152,48,2896,724
153,112,2896,1086
154,188,5068,1448
155,48,2896,724
156,80,2896,905
157,80,2896,905
158,81,3077,905
159,80,2896,905
160,144,2896,1267
161,78,2534,905
162,142,2534,1267
163,46,2534,724
164,77,2353,905
165,77,2353,905
166,77,2353,905
167,77,2353,905
168,45,2353,724
169,46,2534,724
170,77,2353,905
171,77,2353,905
172,48,2896,724
173,45,2353,724
174,44,2172,724
175,44,2172,724
176,187,4887,1448
177,43,1991,724
178,43,1991,724
179,43,1991,724
180,12,2172,543
181,12,2172,543
182,11,1991,543
183,73,1629,905
184,12,2172,543
185,44,2172,724
186,74,1810,905
187,106,1810,1086
188,134,1086,1267
189,184,4344,1448
190,152,4344,1267
191,152,4344,1267
192,151,4163,1267
193,152,4344,1267
194,152,4344,1267
195,150,3982,1267
196,151,4163,1267
197,151,4163,1267
198,151,4163,1267
199,150,3982,1267
200,150,3982,1267
201,150,3982,1267
202,150,3982,1267
203,150,3982,1267
204,150,3982,1267
205,152,4344,1267
206,151,4163,1267
207,150,3982,1267
208,150,3982,1267
209,150,3982,1267
210,151,4163,1267
211,151,4163,1267
212,151,4163,1267
213,150,3982,1267
214,150,3982,1267
215,151,4163,1267
216,151,4163,1267
217,151,4163,1267
218,88,4344,905
219,184,4344,1448
220,69,905,905
221,19,3439,543
222,19,3439,543
223,64,0,905
224,88,4344,905
225,120,4344,1086
226,120,4344,1086
227,88,4344,905
228,64,0,905
229,120,4344,1086
230,188,5068,1448
231,24,4344,543
232,120,4344,1086
233,120,4344,1086
234,9,1629,543
235,120,4344,1086
236,188,5068,1448
237,120,4344,1086
238,64,0,905
239,184,4344,1448
240,184,4344,1448
241,184,4344,1448
242,152,4344,1267
243,152,4344,1267
244,151,4163,1267
245,151,4163,1267
